

Test Vectors (password, salt, output) with t_cost=4 and m_cost=16

0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2CEF530E1CB60DBC8050D63B2362FD580CDF5ADDDCE330159036B51629615FFD
0100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1A3A24359C2BB5F983C15A5EF4CAD56121BDE8379EF27B4B3CCAA4DE90B6FC18
0200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,48FD48C6517D3882E67465F413266C6E87C839F27B19DD2C4EA3F2BEB8BBDAE5
0300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,75A5D776B80FAD2F20EA2913F8C7A273BA831B199854F3CD66698B7E30A62F46
0400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,1C52CD097BFB21F0019B6F82DCAFA6F2927FD00EEC1A1E0E3905DAAD4AE49DF0
0500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,D0ED62B15DDFF9A4C728C5828F8B4A616FF2FC00523B320E6F4243D890ABA4B0
0600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,700BCAFEE15D5FB792ADF6B9A880AF111068CBAE59DABA536A69B3040ECC320E
0700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,D5247B0CA5E4D8FCE813676B5A88150790A6B072BAD26EA07088AC73309E917B
0800000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,F227338479FDF905F498E868AAA9BEE411413AF88A4B3D1772A7DC3CA745B8F7
0900000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ACA8C54AB6E3608820AFFA419FEF7A64D798EA1EB3888444E0B0BF5FDCA3E68D
0A00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,9EDE59F3A089A09D67C195D8CC2C5D0FB878D1C7F2DDCF40C7E5877FF267FF45
0B00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,E75CF38DD79BFF896508DDB8606DE2950A0434AC74B7B5D20BEAC99F4CA9D2F5
0C00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,3F68573454C980CF83D97E7AA4B217EE96C51EB218793FAD9A2394E462E227CD
0D00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,F62A7E0E067C8D1A1963215BDE6F0763B87E84C15CB638C1795EDBDC4264AF9E
0E00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2F4B2201CD65F301477DF034247EDEF674BD6B07DFD1EAE01A4787DD6899006F
0F00000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,68C90A0E8FC2194B3355FAEDDE1C98E797D69142245869A1ACB06923AF7742A6
1000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,2A239711B2FACDBFB7EF45BA3E3E5C306D2A4EEAC2490F2E50C7C208FCDA075D
1100000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,8F82DF074CDD7EFD113D7D5C6D79F3DBF2B4AEAFF9A8A206AE6B804DF914D6E4
1200000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,C8EA724013530CED0BFECCF15C4EEBBC3EA4039CDD299CF077F5CC3AACDFED59
1300000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CFF46840182BC574AAC195D049AB973043D755DBD4F67719A17B322F987A31DD
1400000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,A81655619DCEB977441179D779F89DFE928D2AB8573F9D43CFA75F9BC71A297D
1500000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CDF8BF32A718A217684757AB6A997C7CCE5E44A392A0A86AEA8D5062207E68E4
1600000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,8FE77DBB2A7889808D7A5BB0ADF04C98480DBBE25C7BF5A24959A41252E903A2
1700000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,3BEAC49E174610E32B4D601B06D8A0B3AD868BE47FD5829DB7AEDE852847859D
