scrypt assuming TMTO is not exploited in 2nd loop
t	AT	AT/t	ATnorm
1.00	0.00	0.000	0.000
1.01	0.01	0.010	0.039
1.02	0.02	0.020	0.077
1.03	0.03	0.029	0.113
1.04	0.04	0.038	0.148
1.05	0.05	0.048	0.181
1.06	0.06	0.057	0.214
1.07	0.07	0.065	0.245
1.08	0.08	0.074	0.274
1.09	0.09	0.083	0.303
1.10	0.10	0.091	0.331
1.11	0.11	0.099	0.357
1.12	0.12	0.107	0.383
1.13	0.13	0.115	0.407
1.14	0.14	0.123	0.431
1.15	0.15	0.130	0.454
1.16	0.16	0.138	0.476
1.17	0.17	0.145	0.497
1.18	0.18	0.153	0.517
1.19	0.19	0.160	0.537
1.20	0.20	0.167	0.556
1.21	0.21	0.174	0.574
1.22	0.22	0.180	0.591
1.23	0.23	0.187	0.608
1.24	0.24	0.194	0.624
1.25	0.25	0.200	0.640
1.26	0.26	0.206	0.655
1.27	0.27	0.213	0.670
1.28	0.28	0.219	0.684
1.29	0.29	0.225	0.697
1.30	0.30	0.231	0.710
1.31	0.31	0.237	0.723
1.32	0.32	0.242	0.735
1.33	0.33	0.248	0.746
1.34	0.34	0.254	0.757
1.35	0.35	0.259	0.768
1.36	0.36	0.265	0.779
1.37	0.37	0.270	0.789
1.38	0.38	0.275	0.798
1.39	0.39	0.281	0.807
1.40	0.40	0.286	0.816
1.41	0.41	0.291	0.825
1.42	0.42	0.296	0.833
1.43	0.43	0.301	0.841
1.44	0.44	0.306	0.849
1.45	0.45	0.310	0.856
1.46	0.46	0.315	0.863
1.47	0.47	0.320	0.870
1.48	0.48	0.324	0.877
1.49	0.49	0.329	0.883
1.50	0.50	0.333	0.889
1.51	0.51	0.338	0.895
1.52	0.52	0.342	0.900
1.53	0.53	0.346	0.906
1.54	0.54	0.351	0.911
1.55	0.55	0.355	0.916
1.56	0.56	0.359	0.920
1.57	0.57	0.363	0.925
1.58	0.58	0.367	0.929
1.59	0.59	0.371	0.934
1.60	0.60	0.375	0.938
1.61	0.61	0.379	0.941
1.62	0.62	0.383	0.945
1.63	0.63	0.387	0.948
1.64	0.64	0.390	0.952
1.65	0.65	0.394	0.955
1.66	0.66	0.398	0.958
1.67	0.67	0.401	0.961
1.68	0.68	0.405	0.964
1.69	0.69	0.408	0.966
1.70	0.70	0.412	0.969
1.71	0.71	0.415	0.971
1.72	0.72	0.419	0.973
1.73	0.73	0.422	0.976
1.74	0.74	0.425	0.978
1.75	0.75	0.429	0.980
1.76	0.76	0.432	0.981
1.77	0.77	0.435	0.983
1.78	0.78	0.438	0.985
1.79	0.79	0.441	0.986
1.80	0.80	0.444	0.988
1.81	0.81	0.448	0.989
1.82	0.82	0.451	0.990
1.83	0.83	0.454	0.991
1.84	0.84	0.457	0.992
1.85	0.85	0.459	0.993
1.86	0.86	0.462	0.994
1.87	0.87	0.465	0.995
1.88	0.88	0.468	0.996
1.89	0.89	0.471	0.997
1.90	0.90	0.474	0.997
1.91	0.91	0.476	0.998
1.92	0.92	0.479	0.998
1.93	0.93	0.482	0.999
1.94	0.94	0.485	0.999
1.95	0.95	0.487	0.999
1.96	0.96	0.490	1.000
1.97	0.97	0.492	1.000
1.98	0.98	0.495	1.000
1.99	0.99	0.497	1.000
2.00	1.00	0.500	1.000
2.01	1.01	0.502	1.000
2.02	1.02	0.505	1.000
2.03	1.03	0.507	1.000
2.04	1.04	0.510	1.000
2.05	1.05	0.512	0.999
2.06	1.06	0.515	0.999
2.07	1.07	0.517	0.999
2.08	1.08	0.519	0.999
2.09	1.09	0.522	0.998
2.10	1.10	0.524	0.998
pow2
t	AT	AT/t	ATnorm
1.00	0.33	0.333	1.333
1.01	0.34	0.340	1.346
1.02	0.35	0.346	1.358
1.03	0.36	0.353	1.370
1.04	0.37	0.359	1.381
1.05	0.38	0.365	1.391
1.06	0.39	0.371	1.400
1.07	0.40	0.377	1.409
1.08	0.41	0.383	1.417
1.09	0.42	0.388	1.425
1.10	0.43	0.394	1.433
1.11	0.44	0.399	1.439
1.12	0.45	0.405	1.446
1.13	0.46	0.410	1.451
1.14	0.47	0.415	1.457
1.15	0.48	0.420	1.462
1.16	0.49	0.425	1.467
1.17	0.50	0.430	1.471
1.18	0.51	0.435	1.475
1.19	0.52	0.440	1.478
1.20	0.53	0.444	1.481
1.21	0.54	0.449	1.484
1.22	0.55	0.454	1.487
1.23	0.56	0.458	1.489
1.24	0.57	0.462	1.492
1.25	0.58	0.467	1.493
1.26	0.59	0.471	1.495
1.27	0.60	0.475	1.496
1.28	0.61	0.479	1.497
1.29	0.62	0.483	1.498
1.30	0.63	0.487	1.499
1.31	0.64	0.491	1.500
1.32	0.65	0.495	1.500
1.33	0.66	0.499	1.500
1.34	0.67	0.502	1.500
1.35	0.68	0.506	1.500
1.36	0.69	0.510	1.499
1.37	0.70	0.513	1.499
1.38	0.71	0.517	1.498
1.39	0.72	0.520	1.498
1.40	0.73	0.524	1.497
1.41	0.74	0.527	1.496
1.42	0.75	0.531	1.494
1.43	0.76	0.534	1.493
1.44	0.77	0.537	1.492
1.45	0.78	0.540	1.490
1.46	0.79	0.543	1.489
1.47	0.80	0.546	1.487
1.48	0.81	0.550	1.485
1.49	0.82	0.553	1.483
1.50	0.83	0.556	1.481
1.51	0.84	0.558	1.479
1.52	0.85	0.561	1.477
1.53	0.86	0.564	1.475
1.54	0.87	0.567	1.473
1.55	0.88	0.570	1.471
1.56	0.89	0.573	1.468
1.57	0.90	0.575	1.466
1.58	0.91	0.578	1.463
1.59	0.92	0.581	1.461
1.60	0.93	0.583	1.458
1.61	0.94	0.586	1.456
1.62	0.95	0.588	1.453
1.63	0.96	0.591	1.450
1.64	0.97	0.593	1.448
1.65	0.98	0.596	1.445
1.66	0.99	0.598	1.442
1.67	1.00	0.601	1.439
1.68	1.01	0.603	1.436
1.69	1.02	0.606	1.433
1.70	1.03	0.608	1.430
1.71	1.04	0.610	1.427
1.72	1.05	0.612	1.424
1.73	1.06	0.615	1.421
1.74	1.07	0.617	1.418
1.75	1.08	0.619	1.415
1.76	1.09	0.621	1.412
1.77	1.10	0.623	1.409
1.78	1.11	0.625	1.406
1.79	1.12	0.628	1.402
1.80	1.13	0.630	1.399
1.81	1.14	0.632	1.396
1.82	1.15	0.634	1.393
1.83	1.16	0.636	1.390
1.84	1.17	0.638	1.386
1.85	1.18	0.640	1.383
1.86	1.19	0.642	1.380
1.87	1.20	0.643	1.376
1.88	1.21	0.645	1.373
1.89	1.22	0.647	1.370
1.90	1.23	0.649	1.367
1.91	1.24	0.651	1.363
1.92	1.25	0.653	1.360
1.93	1.26	0.655	1.357
1.94	1.27	0.656	1.353
1.95	1.28	0.658	1.350
1.96	1.29	0.660	1.347
1.97	1.30	0.662	1.343
1.98	1.31	0.663	1.340
1.99	1.32	0.665	1.337
2.00	1.33	0.667	1.333
2.01	1.34	0.668	1.330
2.02	1.35	0.670	1.327
2.03	1.36	0.672	1.323
2.04	1.37	0.673	1.320
2.05	1.38	0.675	1.317
2.06	1.39	0.676	1.313
2.07	1.40	0.678	1.310
2.08	1.41	0.679	1.307
2.09	1.42	0.681	1.303
2.10	1.43	0.683	1.300
wrap or mod
t	AT	AT/t	ATnorm
1.00	0.50	0.500	2.000
1.01	0.51	0.505	2.000
1.02	0.52	0.510	1.999
1.03	0.53	0.515	1.998
1.04	0.54	0.519	1.997
1.05	0.55	0.524	1.995
1.06	0.56	0.528	1.994
1.07	0.57	0.533	1.991
1.08	0.58	0.537	1.989
1.09	0.59	0.541	1.986
1.10	0.60	0.545	1.983
1.11	0.61	0.550	1.980
1.12	0.62	0.554	1.977
1.13	0.63	0.558	1.974
1.14	0.64	0.561	1.970
1.15	0.65	0.565	1.966
1.16	0.66	0.569	1.962
1.17	0.67	0.573	1.958
1.18	0.68	0.576	1.953
1.19	0.69	0.580	1.949
1.20	0.70	0.583	1.944
1.21	0.71	0.587	1.940
1.22	0.72	0.590	1.935
1.23	0.73	0.593	1.930
1.24	0.74	0.597	1.925
1.25	0.75	0.600	1.920
1.26	0.76	0.603	1.915
1.27	0.77	0.606	1.910
1.28	0.78	0.609	1.904
1.29	0.79	0.612	1.899
1.30	0.80	0.615	1.893
1.31	0.81	0.618	1.888
1.32	0.82	0.621	1.882
1.33	0.83	0.624	1.877
1.34	0.84	0.627	1.871
1.35	0.85	0.630	1.866
1.36	0.86	0.632	1.860
1.37	0.87	0.635	1.854
1.38	0.88	0.638	1.848
1.39	0.89	0.640	1.843
1.40	0.90	0.643	1.837
1.41	0.91	0.645	1.831
1.42	0.92	0.648	1.825
1.43	0.93	0.650	1.819
1.44	0.94	0.653	1.813
1.45	0.95	0.655	1.807
1.46	0.96	0.658	1.801
1.47	0.97	0.660	1.796
1.48	0.98	0.662	1.790
1.49	0.99	0.664	1.784
1.50	1.00	0.667	1.778
1.51	1.01	0.669	1.772
1.52	1.02	0.671	1.766
1.53	1.03	0.673	1.760
1.54	1.04	0.675	1.754
1.55	1.05	0.677	1.748
1.56	1.06	0.679	1.742
1.57	1.07	0.682	1.736
1.58	1.08	0.684	1.730
1.59	1.09	0.686	1.725
1.60	1.10	0.688	1.719
